"filename", "language", "JavaScript", "HTML", "PHP", "Markdown", "JSON", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Jaagir\public\external\css\magnific-popup.css", "CSS", 0, 0, 0, 0, 0, 310, 0, 0, 0, 6, 35, 351
"c:\xampp\htdocs\Jaagir\public\external\css\mediaelementplayer.css", "CSS", 0, 0, 0, 0, 0, 649, 0, 0, 0, 22, 102, 773
"c:\xampp\htdocs\Jaagir\public\external\css\owl.carousel.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"c:\xampp\htdocs\Jaagir\public\external\css\owl.theme.default.min.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 5, 0, 15
"c:\xampp\htdocs\Jaagir\public\external\css\style.css", "CSS", 0, 0, 0, 0, 0, 943, 0, 0, 0, 3, 57, 1003
"c:\xampp\htdocs\Jaagir\public\external\fonts\flaticon\font\Flaticon.svg", "XML", 0, 0, 0, 0, 0, 0, 163, 0, 0, 3, 1, 167
"c:\xampp\htdocs\Jaagir\public\external\fonts\flaticon\font\_flaticon.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 46, 0, 4, 5, 55
"c:\xampp\htdocs\Jaagir\public\external\fonts\flaticon\font\flaticon.css", "CSS", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 6, 47
"c:\xampp\htdocs\Jaagir\public\external\fonts\flaticon\font\flaticon.html", "HTML", 0, 449, 0, 0, 0, 0, 0, 0, 0, 4, 42, 495
"c:\xampp\htdocs\Jaagir\public\external\fonts\icomoon\demo-files\demo.css", "CSS", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 2, 156
"c:\xampp\htdocs\Jaagir\public\external\fonts\icomoon\demo-files\demo.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\xampp\htdocs\Jaagir\public\external\fonts\icomoon\demo.html", "HTML", 0, 24502, 0, 0, 0, 0, 0, 0, 0, 2, 1634, 26138
"c:\xampp\htdocs\Jaagir\public\external\fonts\icomoon\fonts\icomoon.svg", "XML", 0, 0, 0, 0, 0, 0, 1530, 0, 0, 0, 0, 1530
"c:\xampp\htdocs\Jaagir\public\external\fonts\icomoon\selection.json", "JSON", 0, 0, 0, 0, 41190, 0, 0, 0, 0, 0, 0, 41190
"c:\xampp\htdocs\Jaagir\public\external\fonts\icomoon\style.css", "CSS", 0, 0, 0, 0, 0, 4914, 0, 0, 0, 2, 4, 4920
"c:\xampp\htdocs\Jaagir\public\external\js\aos.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\Jaagir\public\external\js\bootstrap-datepicker.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9
"c:\xampp\htdocs\Jaagir\public\external\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Jaagir\public\external\js\jquery-3.3.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\Jaagir\public\external\js\jquery-migrate-3.0.1.min.js", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 215
"c:\xampp\htdocs\Jaagir\public\external\js\jquery-ui.js", "JavaScript", 1276, 0, 0, 0, 0, 0, 0, 0, 0, 159, 300, 1735
"c:\xampp\htdocs\Jaagir\public\external\js\jquery.countdown.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 22
"c:\xampp\htdocs\Jaagir\public\external\js\jquery.magnific-popup.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\Jaagir\public\external\js\jquery.stellar.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\Jaagir\public\external\js\main.js", "JavaScript", 330, 0, 0, 0, 0, 0, 0, 0, 0, 3, 62, 395
"c:\xampp\htdocs\Jaagir\public\external\js\mediaelement-and-player.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 12
"c:\xampp\htdocs\Jaagir\public\external\js\owl.carousel.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"c:\xampp\htdocs\Jaagir\public\external\js\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\Jaagir\public\external\js\slick.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\Jaagir\public\external\scss\_site-base.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 248, 0, 7, 20, 275
"c:\xampp\htdocs\Jaagir\public\external\scss\_site-blocks.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 520, 0, 3, 20, 543
"c:\xampp\htdocs\Jaagir\public\external\scss\_site-navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 333, 0, 12, 23, 368
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_alert.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 13, 11, 52
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_badge.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 12, 8, 48
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_breadcrumb.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 29, 0, 8, 5, 42
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_button-group.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 109, 0, 31, 33, 173
